person_id,full_name,aliases,gender,dob,age_band,address,city,district,taluk,socio_econ_band,occupation,is_offender
P-0186,Roopa Shetty,,M,1979-01-26,45+,"26, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,street vendor,0
P-0187,Farhan Shetty,,M,2003-09-20,18-24,"28, Cross Road, Hunsur",Hunsur,Mysuru,Hunsur,low,street vendor,0
P-0188,Kiran Achar,,M,1983-09-15,35-44,"103, Colony, Hunsur",Hunsur,Mysuru,Hunsur,low,unemployed,0
P-0189,Ramesh Reddy,,M,1980-02-24,45+,"8, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,mechanic,0
P-0190,Anand Bhat,,M,2005-07-18,18-24,"89, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,middle,farm labourer,0
P-0191,Ramesh Patil,,F,1982-08-03,35-44,"25, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,farm labourer,0
P-0192,Harish Reddy,,F,1991-09-26,35-44,"123, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,street vendor,0
P-0193,Prakash Desai,,M,2004-12-26,18-24,"75, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,unemployed,0
P-0194,Shivakumar Hegde,,M,1976-07-17,45+,"76, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,low,shop assistant,0
P-0195,Bhavya Gowda,,M,1978-02-27,45+,"122, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,mechanic,0
P-0196,Vinay Pujari,,M,1981-09-27,45+,"41, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,street vendor,0
P-0197,Naveen Patil,,M,1983-02-27,35-44,"9, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,0
P-0198,Shwetha Achar,,M,1999-11-09,25-34,"152, Extension, Chittapur",Chittapur,Kalaburagi,Chittapur,low,daily wage labourer,0
P-0199,Umesh Kulkarni,,M,2001-07-15,25-34,"134, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,unemployed,0
P-0200,Nandini Rao,,M,1975-10-26,45+,"23, Layout, Aland",Aland,Kalaburagi,Aland,lower-middle,delivery rider,0
P-0201,Pooja Desai,,M,1984-04-26,35-44,"6, Colony, Peenya",Peenya,Bengaluru North,Peenya,middle,street vendor,0
P-0202,Kiran Prasad,,M,1982-01-13,35-44,"87, Main Road, Hebbal",Hebbal,Bengaluru North,Hebbal,low,street vendor,0
P-0203,Deepa Hegde,,M,1981-05-07,45+,"165, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,farm labourer,0
P-0204,Vinay Kumar,,M,1984-02-03,35-44,"67, Colony, Peenya",Peenya,Bengaluru North,Peenya,low,shop assistant,0
P-0205,Vinay Desai,,M,1991-04-27,35-44,"67, Extension, Peenya",Peenya,Bengaluru North,Peenya,low,construction worker,0
P-0206,Savitha Achar,,F,2003-08-05,18-24,"135, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,private security guard,0
P-0207,Kiran Murthy,,M,1986-07-10,35-44,"147, Extension, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,mechanic,0
P-0208,Prakash Shetty,,M,1992-08-24,25-34,"79, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,shop assistant,0
P-0209,Naveen Kamath,,M,2002-04-03,18-24,"142, Main Road, Hebbal",Hebbal,Bengaluru North,Hebbal,lower-middle,daily wage labourer,0
P-0210,Vidya Swamy,,M,1996-11-28,25-34,"135, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,street vendor,0
P-0211,Anand Jadhav,,M,1981-03-03,45+,"162, Cross Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,daily wage labourer,0
P-0212,Lokesh Jadhav,,M,1979-06-12,45+,"14, Layout, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,construction worker,0
P-0213,Naveen Kulkarni,,M,1994-02-16,25-34,"157, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,auto driver,0
P-0214,Harish Pujari,,M,1985-03-08,35-44,"141, Extension, Peenya",Peenya,Bengaluru North,Peenya,middle,unemployed,0
P-0215,Farhan Swamy,,M,2004-02-03,18-24,"16, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,mechanic,0
P-0216,Mahesh Jadhav,,M,1983-09-03,35-44,"123, Layout, Hebbal",Hebbal,Bengaluru North,Hebbal,low,construction worker,0
P-0217,Lokesh Achar,,M,2005-04-13,18-24,"180, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,shop assistant,0
P-0218,Ananya Prasad,,M,1977-11-07,45+,"62, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,mechanic,0
P-0219,Deepa Pujari,,M,2001-04-05,25-34,"157, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,delivery rider,0
P-0220,Suresh Jadhav,,M,1980-06-20,45+,"137, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,mechanic,0
P-0221,Santhosh Jadhav,,M,1998-11-18,25-34,"40, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,daily wage labourer,0
P-0222,Harish Achar,,M,1989-09-08,35-44,"11, Extension, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,street vendor,0
P-0223,Imran Naik,,M,1981-05-20,45+,"13, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,shop assistant,0
P-0224,Nandini Patil,,M,1995-03-10,25-34,"156, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,0
P-0225,Mahesh Pujari,,M,1993-04-26,25-34,"14, Main Road, Peenya",Peenya,Bengaluru North,Peenya,middle,daily wage labourer,0
P-0226,Nagaraj Bhat,,M,2001-08-12,25-34,"111, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,auto driver,0
P-0227,Naveen Naik,,M,1981-06-10,45+,"45, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,auto driver,0
P-0228,Savitha Kulkarni,,M,1990-04-17,35-44,"8, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,daily wage labourer,0
P-0229,Prakash Patil,,F,1993-05-17,25-34,"15, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,delivery rider,0
P-0230,Naveen Gowda,,M,1977-09-23,45+,"166, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,construction worker,0
P-0231,Ananya Gowda,,M,2001-12-24,25-34,"168, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,unemployed,0
P-0232,Nagaraj Swamy,,M,1982-03-09,35-44,"68, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,construction worker,0
P-0233,Shwetha Reddy,,M,2003-08-20,18-24,"50, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,street vendor,0
P-0234,Mahesh Reddy,,F,1977-12-03,45+,"4, Layout, Hunsur",Hunsur,Mysuru,Hunsur,middle,auto driver,0
P-0235,Santhosh Patil,,M,1995-07-13,25-34,"8, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,low,construction worker,0
P-0236,Imran Shetty,,M,1994-02-07,25-34,"85, Colony, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,private security guard,0
P-0237,Deepa Naik,,M,2002-08-15,18-24,"176, Extension, Aland",Aland,Kalaburagi,Aland,low,auto driver,0
P-0238,Farhan Patil,,M,1985-09-03,35-44,"76, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,unemployed,0
P-0239,Vinay Kulkarni,,F,1998-03-05,25-34,"7, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,delivery rider,0
P-0240,Kiran Murthy,,M,1998-01-27,25-34,"72, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,auto driver,0
P-0241,Lakshmi Jadhav,,M,1996-10-17,25-34,"93, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,farm labourer,0
P-0242,Nagaraj Naik,,M,1989-01-12,35-44,"91, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,shop assistant,0
P-0243,Prakash Hegde,,M,2004-07-20,18-24,"17, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,farm labourer,0
P-0244,Savitha Rao,,M,2002-11-01,18-24,"15, Layout, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,private security guard,0
P-0245,Deepa Gowda,,F,2002-10-09,18-24,"147, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,private security guard,0
P-0246,Santhosh Kulkarni,,M,1994-09-02,25-34,"168, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,unemployed,0
P-0247,Shivakumar Swamy,,M,2000-07-23,25-34,"95, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,auto driver,0
P-0248,Deepa Pujari,,F,1978-10-24,45+,"53, Extension, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,daily wage labourer,0
P-0249,Manjunath Naik,,M,2002-03-03,18-24,"43, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,private security guard,0
P-0250,Shwetha Kumar,,M,2004-04-25,18-24,"89, Extension, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,private security guard,0
P-0251,Imran Shetty,,M,1998-12-28,25-34,"41, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,auto driver,0
P-0252,Prakash Bhat,,M,1981-12-19,45+,"169, Extension, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,mechanic,0
P-0253,Vidya Pujari,,M,2003-11-09,18-24,"112, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,middle,daily wage labourer,0
P-0254,Farhan Kumar,,F,1985-03-07,35-44,"49, Main Road, Peenya",Peenya,Bengaluru North,Peenya,middle,street vendor,0
P-0255,Bhavya Prasad,,F,1991-01-16,35-44,"6, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,private security guard,0
P-0256,Deepa Shetty,,M,1977-01-18,45+,"10, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,delivery rider,0
P-0257,Rakesh Kumar,,M,2003-05-20,18-24,"95, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,private security guard,0
P-0258,Umesh Gowda,,M,1986-07-15,35-44,"115, Colony, Hunsur",Hunsur,Mysuru,Hunsur,low,shop assistant,0
P-0259,Umesh Reddy,,M,1980-04-18,45+,"104, Cross Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,mechanic,0
P-0260,Bhavya Pujari,,M,1989-03-01,35-44,"89, Colony, Hunsur",Hunsur,Mysuru,Hunsur,middle,unemployed,0
P-0261,Nandini Patil,,F,2004-09-08,18-24,"53, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,daily wage labourer,0
P-0262,Naveen Kulkarni,,M,1982-06-17,35-44,"63, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,auto driver,0
P-0263,Prakash Hegde,,F,1990-02-21,35-44,"47, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,mechanic,0
P-0264,Vidya Patil,,F,1992-10-25,25-34,"109, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,farm labourer,0
P-0265,Savitha Prasad,,F,1980-06-12,45+,"13, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,farm labourer,0
P-0266,Naveen Rao,,M,1982-11-28,35-44,"136, Layout, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,street vendor,0
P-0267,Manjunath Prasad,,M,2002-04-28,18-24,"138, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,street vendor,0
P-0268,Nandini Desai,,M,1983-03-13,35-44,"171, Main Road, Aland",Aland,Kalaburagi,Aland,middle,shop assistant,0
P-0269,Vinay Naik,,F,1993-12-21,25-34,"11, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,farm labourer,0
P-0270,Ananya Gowda,,M,1979-08-02,45+,"126, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,delivery rider,0
P-0271,Lakshmi Rao,,F,1981-10-04,45+,"107, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,street vendor,0
P-0272,Kiran Rao,,M,1993-06-15,25-34,"172, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,daily wage labourer,0
P-0273,Shwetha Jadhav,,F,2005-10-19,18-24,"81, Colony, Aland",Aland,Kalaburagi,Aland,middle,delivery rider,0
P-0274,Girish Kumar,,M,1983-09-17,35-44,"33, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,private security guard,0
P-0275,Savitha Naik,,M,1998-12-18,25-34,"78, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,daily wage labourer,0
P-0276,Harish Jadhav,,M,1981-11-02,45+,"102, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,shop assistant,0
P-0277,Basavaraj Gowda,,M,2001-12-15,25-34,"80, Layout, Hunsur",Hunsur,Mysuru,Hunsur,low,daily wage labourer,0
P-0278,Ramesh Murthy,,M,1994-07-17,25-34,"45, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,unemployed,0
P-0279,Savitha Naik,,M,1978-07-24,45+,"141, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,delivery rider,0
P-0280,Ananya Naik,,M,1994-02-20,25-34,"58, Extension, Aland",Aland,Kalaburagi,Aland,lower-middle,auto driver,0
P-0281,Girish Patil,,M,1986-03-10,35-44,"159, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,auto driver,0
P-0282,Ravi Achar,,M,1985-02-22,35-44,"76, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,daily wage labourer,0
P-0283,Shivakumar Desai,,M,1996-12-19,25-34,"104, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,unemployed,0
P-0284,Chetan Kumar,,M,1996-02-03,25-34,"109, Cross Road, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,mechanic,0
P-0285,Roopa Patil,,M,1979-09-17,45+,"179, Extension, Aland",Aland,Kalaburagi,Aland,lower-middle,farm labourer,0
P-0286,Harish Patil,,F,1994-12-19,25-34,"88, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,daily wage labourer,0
P-0287,Savitha Kulkarni,,M,1989-06-07,35-44,"107, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,street vendor,0
P-0288,Imran Murthy,,M,1977-03-24,45+,"157, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,construction worker,0
P-0289,Ravi Desai,,F,1979-04-12,45+,"1, Extension, Hunsur",Hunsur,Mysuru,Hunsur,low,delivery rider,0
P-0290,Girish Desai,,F,1975-03-04,45+,"108, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,low,construction worker,0
P-0291,Shivakumar Swamy,,M,1980-01-15,45+,"143, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,auto driver,0
P-0292,Rakesh Jadhav,,M,1979-07-17,45+,"72, Main Road, Peenya",Peenya,Bengaluru North,Peenya,low,auto driver,0
P-0293,Yusuf Kamath,,M,2004-10-03,18-24,"142, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,delivery rider,0
P-0294,Prakash Pujari,,M,1982-01-10,35-44,"48, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,unemployed,0
P-0295,Mahesh Swamy,,M,1987-06-08,35-44,"44, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,street vendor,0
P-0296,Vidya Rao,,M,2003-12-15,18-24,"54, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,auto driver,0
P-0297,Farhan Bhat,,M,2001-12-22,25-34,"4, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,delivery rider,0
P-0298,Anand Kulkarni,,M,1990-04-05,35-44,"41, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,auto driver,0
P-0299,Lokesh Naik,,M,1981-08-28,45+,"90, Cross Road, Hebbal",Hebbal,Bengaluru North,Hebbal,low,mechanic,0
P-0300,Basavaraj Kamath,,M,1996-07-28,25-34,"137, Cross Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,mechanic,0
P-0301,Shwetha Achar,,M,1987-02-08,35-44,"82, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,delivery rider,0
P-0302,Lakshmi Reddy,,M,1979-09-28,45+,"29, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,street vendor,0
P-0303,Chetan Jadhav,,F,1989-11-12,35-44,"70, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,daily wage labourer,0
P-0304,Umesh Pujari,,M,1983-02-10,35-44,"174, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,construction worker,0
P-0305,Chetan Reddy,,M,1998-11-17,25-34,"7, Layout, Aland",Aland,Kalaburagi,Aland,middle,unemployed,0
P-0306,Mahesh Shetty,,M,1982-03-12,35-44,"42, Extension, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,auto driver,0
P-0307,Prakash Kulkarni,,M,1996-01-17,25-34,"70, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,construction worker,0
P-0308,Deepa Kumar,,M,1985-03-16,35-44,"11, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,delivery rider,0
P-0309,Bhavya Gowda,,M,1985-04-18,35-44,"55, Colony, Peenya",Peenya,Bengaluru North,Peenya,middle,farm labourer,0
P-0310,Ramesh Swamy,,M,2000-08-09,25-34,"68, Cross Road, Aland",Aland,Kalaburagi,Aland,low,daily wage labourer,0
P-0311,Harish Hegde,,M,1987-06-09,35-44,"170, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,farm labourer,0
P-0312,Nagaraj Rao,,M,1988-10-06,35-44,"105, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,private security guard,0
P-0313,Naveen Kumar,,M,1986-03-06,35-44,"140, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,street vendor,0
P-0314,Chetan Pujari,,M,1996-08-20,25-34,"12, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,auto driver,0
P-0315,Mahesh Reddy,,M,1981-07-07,45+,"175, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,private security guard,0
P-0316,Roopa Reddy,,F,1981-05-22,45+,"1, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,farm labourer,0
P-0317,Anand Kulkarni,,M,1975-09-07,45+,"8, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,mechanic,0
P-0318,Kiran Desai,,M,1997-05-27,25-34,"115, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,shop assistant,0
P-0319,Savitha Patil,,M,2004-02-01,18-24,"50, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,unemployed,0
P-0320,Vidya Patil,,M,1994-08-15,25-34,"87, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,unemployed,0
P-0321,Vinay Gowda,,M,1990-07-02,35-44,"74, Layout, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,private security guard,0
P-0322,Ananya Gowda,,M,1978-07-17,45+,"27, Cross Road, Aland",Aland,Kalaburagi,Aland,middle,private security guard,0
P-0323,Nandini Jadhav,,F,2004-06-08,18-24,"51, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,daily wage labourer,0
P-0324,Girish Reddy,,M,1980-09-22,45+,"71, Colony, Peenya",Peenya,Bengaluru North,Peenya,middle,mechanic,0
P-0325,Vidya Gowda,,M,2003-05-06,18-24,"48, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,private security guard,0
P-0326,Vinay Patil,,M,1994-01-14,25-34,"165, Layout, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,unemployed,0
P-0327,Imran Desai,,M,1976-08-13,45+,"159, Main Road, Hebbal",Hebbal,Bengaluru North,Hebbal,lower-middle,mechanic,0
P-0328,Pooja Kulkarni,,F,1978-01-01,45+,"47, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,delivery rider,0
P-0329,Manjunath Rao,,M,1987-06-04,35-44,"5, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,farm labourer,0
P-0330,Farhan Prasad,,M,1979-08-17,45+,"152, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,private security guard,0
