person_id,full_name,aliases,gender,dob,age_band,address,district,socio_econ_band,occupation,is_offender
P-0222,Kiran Naik,,M,1998-03-10,25-34,"138, Colony, Kalaburagi City",Kalaburagi,lower-middle,Delivery Rider,0
P-0223,Chetan Murthy,,F,1984-07-11,35-44,"40, Layout, Krishnaraja",Mysuru,lower-middle,Mechanic,0
P-0224,Basavaraj Prasad,,M,1983-09-17,35-44,"130, Layout, Krishnaraja",Mysuru,middle,Farm Labourer,0
P-0225,Bhavya Jadhav,,M,1981-04-15,45+,"18, Colony, Hunsur",Mysuru,low,Daily Wage Labourer,0
P-0226,Prakash Desai,,M,1986-10-12,35-44,"25, Cross Road, Peenya",Bengaluru North,middle,Private Security Guard,0
P-0227,Farhan Desai,,M,2001-12-04,25-34,"93, Main Road, Hebbal",Bengaluru North,lower-middle,Farm Labourer,0
P-0228,Nandini Murthy,,M,2001-08-18,25-34,"110, Extension, Aland",Kalaburagi,middle,Construction Worker,0
P-0229,Anand Kulkarni,,F,2005-09-01,18-24,"84, Main Road, Kalaburagi City",Kalaburagi,middle,Unemployed,0
P-0230,Ananya Achar,,F,2002-08-19,18-24,"121, Cross Road, Peenya",Bengaluru North,middle,Private Security Guard,0
P-0231,Imran Kulkarni,,M,1988-09-13,35-44,"6, Main Road, RT Nagar",Bengaluru North,lower-middle,Daily Wage Labourer,0
P-0232,Imran Rao,,M,1992-07-15,25-34,"99, Main Road, Hebbal",Bengaluru North,middle,Private Security Guard,0
P-0233,Lakshmi Bhat,,M,1987-01-20,35-44,"89, Layout, Aland",Kalaburagi,lower-middle,Shop Assistant,0
P-0234,Suresh Gowda,,F,2001-02-19,25-34,"86, Main Road, Yelahanka",Bengaluru North,lower-middle,Private Security Guard,0
P-0235,Ananya Patil,,F,1997-09-19,25-34,"117, Main Road, Nanjangud",Mysuru,low,Shop Assistant,0
P-0236,Imran Achar,,F,1987-06-11,35-44,"134, Main Road, RT Nagar",Bengaluru North,lower-middle,Farm Labourer,0
P-0237,Nandini Bhat,,M,1984-05-12,35-44,"39, Layout, Hunsur",Mysuru,lower-middle,Unemployed,0
P-0238,Chetan Bhat,,M,2002-10-03,18-24,"133, Extension, Nanjangud",Mysuru,lower-middle,Construction Worker,0
P-0239,Pooja Jadhav,,M,1979-02-18,45+,"73, Layout, Yelahanka",Bengaluru North,lower-middle,Auto Driver,0
P-0240,Chetan Rao,,M,2001-08-02,25-34,"23, Main Road, RT Nagar",Bengaluru North,lower-middle,Delivery Rider,0
P-0241,Suresh Reddy,,M,1994-07-24,25-34,"25, Layout, Chittapur",Kalaburagi,low,Construction Worker,0
P-0242,Ramesh Bhat,,M,1995-02-03,25-34,"120, Layout, RT Nagar",Bengaluru North,middle,Street Vendor,0
P-0243,Bhavya Kumar,,F,1995-09-15,25-34,"79, Layout, Krishnaraja",Mysuru,middle,Mechanic,0
P-0244,Anand Desai,,M,1986-07-28,35-44,"84, Colony, Hebbal",Bengaluru North,lower-middle,Construction Worker,0
P-0245,Prakash Swamy,,M,1979-12-04,45+,"177, Extension, Kalaburagi City",Kalaburagi,middle,Street Vendor,0
P-0246,Farhan Rao,,M,1980-12-14,45+,"68, Main Road, Aland",Kalaburagi,middle,Shop Assistant,0
P-0247,Ananya Kulkarni,,F,2001-03-26,25-34,"161, Main Road, Hebbal",Bengaluru North,low,Delivery Rider,0
P-0248,Kavitha Jadhav,,M,2001-11-15,25-34,"128, Extension, Hebbal",Bengaluru North,lower-middle,Daily Wage Labourer,0
P-0249,Prakash Kamath,,M,1995-08-06,25-34,"169, Main Road, Peenya",Bengaluru North,lower-middle,Delivery Rider,0
P-0250,Nandini Shetty,,M,1984-04-22,35-44,"125, Extension, Krishnaraja",Mysuru,low,Unemployed,0
P-0251,Santhosh Swamy,,M,1976-03-21,45+,"173, Main Road, Hunsur",Mysuru,lower-middle,Construction Worker,0
P-0252,Prakash Swamy,,M,1981-01-28,45+,"118, Layout, RT Nagar",Bengaluru North,middle,Auto Driver,0
P-0253,Naveen Gowda,,M,1983-06-24,35-44,"74, Extension, RT Nagar",Bengaluru North,low,Private Security Guard,0
P-0254,Deepa Pujari,,F,2001-09-24,25-34,"41, Colony, Hunsur",Mysuru,middle,Farm Labourer,0
P-0255,Santhosh Naik,,M,1975-02-14,45+,"77, Colony, Nanjangud",Mysuru,low,Farm Labourer,0
P-0256,Shwetha Hegde,,M,1988-10-25,35-44,"47, Main Road, Aland",Kalaburagi,lower-middle,Shop Assistant,0
P-0257,Nandini Desai,,M,1981-05-26,45+,"71, Main Road, Peenya",Bengaluru North,lower-middle,Daily Wage Labourer,0
P-0258,Prakash Hegde,,M,1989-02-18,35-44,"53, Main Road, Nanjangud",Mysuru,lower-middle,Auto Driver,0
P-0259,Shivakumar Shetty,,F,1977-05-22,45+,"13, Colony, Aland",Kalaburagi,low,Unemployed,0
P-0260,Vidya Jadhav,,M,1988-02-20,35-44,"54, Extension, Hunsur",Mysuru,low,Auto Driver,0
P-0261,Prakash Desai,,M,1995-03-25,25-34,"62, Colony, Chittapur",Kalaburagi,middle,Daily Wage Labourer,0
P-0262,Kiran Naik,,F,1999-09-15,25-34,"115, Layout, Peenya",Bengaluru North,middle,Private Security Guard,0
P-0263,Harish Bhat,,M,1998-10-14,25-34,"105, Layout, Peenya",Bengaluru North,middle,Shop Assistant,0
P-0264,Yusuf Swamy,,M,1986-07-27,35-44,"78, Cross Road, Hebbal",Bengaluru North,middle,Construction Worker,0
P-0265,Bhavya Hegde,,M,2000-01-17,25-34,"152, Main Road, Krishnaraja",Mysuru,low,Shop Assistant,0
P-0266,Anand Jadhav,,M,1980-08-02,45+,"136, Colony, Kalaburagi City",Kalaburagi,lower-middle,Daily Wage Labourer,0
P-0267,Shivakumar Hegde,,M,1978-04-05,45+,"82, Cross Road, Kalaburagi City",Kalaburagi,lower-middle,Unemployed,0
P-0268,Prakash Patil,,F,1998-09-17,25-34,"114, Layout, Chittapur",Kalaburagi,low,Delivery Rider,0
P-0269,Harish Shetty,,M,1994-03-02,25-34,"143, Extension, RT Nagar",Bengaluru North,middle,Street Vendor,0
P-0270,Ramesh Gowda,,M,1983-11-22,35-44,"41, Cross Road, Kalaburagi City",Kalaburagi,lower-middle,Delivery Rider,0
P-0271,Deepa Kamath,,M,1979-04-12,45+,"119, Layout, Nanjangud",Mysuru,middle,Mechanic,0
P-0272,Naveen Achar,,F,1983-09-01,35-44,"107, Cross Road, Kalaburagi City",Kalaburagi,low,Unemployed,0
P-0273,Ramesh Achar,,M,1976-05-07,45+,"179, Main Road, Chittapur",Kalaburagi,low,Street Vendor,0
P-0274,Anand Kamath,,F,1982-07-03,35-44,"25, Layout, Peenya",Bengaluru North,low,Farm Labourer,0
P-0275,Deepa Naik,,M,2002-01-25,18-24,"125, Extension, Chittapur",Kalaburagi,low,Delivery Rider,0
P-0276,Rakesh Swamy,,M,1980-12-17,45+,"145, Main Road, Krishnaraja",Mysuru,low,Farm Labourer,0
P-0277,Pooja Desai,,M,1990-10-12,35-44,"109, Layout, Kalaburagi City",Kalaburagi,middle,Street Vendor,0
P-0278,Deepa Prasad,,M,1982-07-23,35-44,"85, Colony, Nanjangud",Mysuru,lower-middle,Private Security Guard,0
P-0279,Lokesh Swamy,,M,1982-02-21,35-44,"112, Cross Road, RT Nagar",Bengaluru North,low,Construction Worker,0
P-0280,Savitha Desai,,M,1984-02-20,35-44,"40, Cross Road, Peenya",Bengaluru North,middle,Street Vendor,0
P-0281,Kiran Desai,,M,1998-11-04,25-34,"150, Cross Road, Nanjangud",Mysuru,low,Street Vendor,0
P-0282,Kavitha Gowda,,M,2001-01-01,25-34,"157, Cross Road, Krishnaraja",Mysuru,low,Construction Worker,0
P-0283,Nandini Kamath,,M,1984-05-08,35-44,"123, Extension, Chittapur",Kalaburagi,middle,Unemployed,0
P-0284,Lakshmi Hegde,,F,1986-02-23,35-44,"75, Colony, Nanjangud",Mysuru,lower-middle,Daily Wage Labourer,0
P-0285,Yusuf Reddy,,M,1998-08-21,25-34,"73, Layout, Yelahanka",Bengaluru North,lower-middle,Construction Worker,0
P-0286,Kiran Shetty,,M,1982-08-09,35-44,"4, Extension, Krishnaraja",Mysuru,lower-middle,Daily Wage Labourer,0
P-0287,Chetan Kumar,,M,1991-07-17,35-44,"77, Cross Road, Aland",Kalaburagi,low,Mechanic,0
P-0288,Farhan Desai,,M,1983-12-22,35-44,"47, Cross Road, Chittapur",Kalaburagi,lower-middle,Construction Worker,0
P-0289,Prakash Bhat,,M,1991-09-15,35-44,"37, Colony, Hebbal",Bengaluru North,low,Auto Driver,0
P-0290,Naveen Kamath,,M,1997-04-25,25-34,"106, Cross Road, Peenya",Bengaluru North,low,Construction Worker,0
P-0291,Farhan Swamy,,M,1992-11-14,25-34,"84, Cross Road, Aland",Kalaburagi,middle,Delivery Rider,0
P-0292,Harish Naik,,M,1979-09-11,45+,"54, Layout, Peenya",Bengaluru North,low,Private Security Guard,0
P-0293,Mahesh Achar,,M,1998-02-05,25-34,"16, Extension, Peenya",Bengaluru North,middle,Daily Wage Labourer,0
P-0294,Nagaraj Shetty,,M,1977-08-04,45+,"26, Layout, Chittapur",Kalaburagi,middle,Unemployed,0
P-0295,Vinay Jadhav,,F,1995-07-22,25-34,"128, Layout, Hunsur",Mysuru,low,Unemployed,0
P-0296,Umesh Desai,,M,1996-02-08,25-34,"31, Colony, Chittapur",Kalaburagi,low,Delivery Rider,0
P-0297,Shivakumar Hegde,,M,1987-06-20,35-44,"133, Colony, Krishnaraja",Mysuru,low,Construction Worker,0
P-0298,Roopa Prasad,,M,1982-05-20,35-44,"130, Colony, Aland",Kalaburagi,low,Private Security Guard,0
P-0299,Chetan Naik,,M,1996-11-01,25-34,"64, Main Road, Aland",Kalaburagi,lower-middle,Private Security Guard,0
P-0300,Kavitha Swamy,,M,1979-12-03,45+,"127, Colony, Aland",Kalaburagi,lower-middle,Delivery Rider,0
P-0301,Yusuf Jadhav,,M,1991-09-26,35-44,"21, Colony, Krishnaraja",Mysuru,low,Construction Worker,0
P-0302,Roopa Kumar,,M,1978-01-23,45+,"63, Cross Road, Hebbal",Bengaluru North,middle,Street Vendor,0
P-0303,Pooja Desai,,M,1981-09-16,45+,"69, Main Road, RT Nagar",Bengaluru North,lower-middle,Delivery Rider,0
P-0304,Anand Hegde,,M,1994-08-05,25-34,"123, Extension, Aland",Kalaburagi,lower-middle,Farm Labourer,0
P-0305,Basavaraj Rao,,F,2005-10-04,18-24,"175, Extension, Hunsur",Mysuru,low,Street Vendor,0
P-0306,Kavitha Reddy,,M,2001-12-27,25-34,"168, Layout, RT Nagar",Bengaluru North,low,Construction Worker,0
P-0307,Pooja Kulkarni,,M,1988-12-13,35-44,"102, Cross Road, Aland",Kalaburagi,low,Farm Labourer,0
P-0308,Manjunath Patil,,F,1991-11-08,35-44,"86, Extension, Chittapur",Kalaburagi,lower-middle,Unemployed,0
P-0309,Kavitha Patil,,M,1988-01-01,35-44,"39, Cross Road, Kalaburagi City",Kalaburagi,middle,Unemployed,0
P-0310,Farhan Achar,,M,1999-02-13,25-34,"121, Colony, Hunsur",Mysuru,lower-middle,Street Vendor,0
P-0311,Lokesh Murthy,,F,2000-10-19,25-34,"86, Cross Road, Peenya",Bengaluru North,low,Private Security Guard,0
P-0312,Prakash Rao,,M,1988-08-26,35-44,"141, Layout, Chittapur",Kalaburagi,middle,Shop Assistant,0
P-0313,Nandini Patil,,M,1987-09-18,35-44,"51, Colony, Hunsur",Mysuru,lower-middle,Mechanic,0
P-0314,Kavitha Hegde,,M,1978-07-09,45+,"77, Layout, Nanjangud",Mysuru,low,Construction Worker,0
P-0315,Farhan Desai,,M,1980-08-03,45+,"37, Layout, Krishnaraja",Mysuru,middle,Unemployed,0
P-0316,Vinay Prasad,,F,1978-08-06,45+,"111, Main Road, Nanjangud",Mysuru,lower-middle,Daily Wage Labourer,0
P-0317,Bhavya Kulkarni,,M,2005-07-28,18-24,"35, Colony, Chittapur",Kalaburagi,low,Delivery Rider,0
P-0318,Lokesh Swamy,,F,1982-07-13,35-44,"42, Main Road, RT Nagar",Bengaluru North,lower-middle,Street Vendor,0
P-0319,Savitha Patil,,M,1995-03-28,25-34,"165, Main Road, Krishnaraja",Mysuru,middle,Street Vendor,0
P-0320,Shwetha Reddy,,M,1978-07-09,45+,"134, Main Road, Kalaburagi City",Kalaburagi,middle,Delivery Rider,0
P-0321,Prakash Kulkarni,,M,1987-09-14,35-44,"84, Main Road, Hebbal",Bengaluru North,low,Street Vendor,0
P-0322,Yusuf Jadhav,,F,2001-07-14,25-34,"100, Layout, Hunsur",Mysuru,low,Farm Labourer,0
P-0323,Nandini Hegde,,M,1982-05-05,35-44,"153, Extension, Nanjangud",Mysuru,middle,Private Security Guard,0
P-0324,Ramesh Kumar,,M,1990-09-17,35-44,"93, Cross Road, Hunsur",Mysuru,middle,Private Security Guard,0
P-0325,Imran Kulkarni,,M,1996-05-17,25-34,"103, Extension, Yelahanka",Bengaluru North,middle,Mechanic,0
P-0326,Pooja Gowda,,F,2002-04-28,18-24,"142, Cross Road, RT Nagar",Bengaluru North,lower-middle,Auto Driver,0
P-0327,Basavaraj Jadhav,,M,1997-08-09,25-34,"11, Main Road, Aland",Kalaburagi,low,Construction Worker,0
P-0328,Farhan Naik,,F,1998-10-05,25-34,"70, Main Road, Yelahanka",Bengaluru North,lower-middle,Delivery Rider,0
P-0329,Anand Prasad,,M,1982-08-19,35-44,"2, Layout, RT Nagar",Bengaluru North,low,Private Security Guard,0
P-0330,Pooja Swamy,,M,1978-05-25,45+,"118, Cross Road, Chittapur",Kalaburagi,low,Unemployed,0
